"release.id","url"
"349176","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349176"
"348131","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348131"
"348109","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348109"
"348102","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348102"
"348091","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348091"
"348087","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348087"
"348069","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348069"
"348064","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348064"
"348046","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348046"
"348029","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348029"
"348024","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348024"
"348015","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348015"
"348007","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348007"
"348003","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=348003"
"347004","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=347004"
"346984","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346984"
"346979","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346979"
"346977","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346977"
"346974","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346974"
"346970","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346970"
"346961","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346961"
"346899","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346899"
"346898","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346898"
"346896","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346896"
"346885","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346885"
"345867","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345867"
"345861","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345861"
"345857","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345857"
"345843","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345843"
"345841","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345841"
"345828","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345828"
"345824","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345824"
"345823","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345823"
"345818","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345818"
"345816","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345816"
"345810","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345810"
"345766","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345766"
"345758","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345758"
"345755","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345755"
"345734","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345734"
"345704","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345704"
"345698","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345698"
"345684","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345684"
"345587","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345587"
"345583","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345583"
"345557","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345557"
"345492","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345492"
"345490","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345490"
"345515","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345515"
"345489","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345489"
"345487","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345487"
"345488","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345488"
"345485","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345485"
"345481","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345481"
"345476","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345476"
"345426","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345426"
"345425","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345425"
"345410","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345410"
"345396","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345396"
"345377","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345377"
"346958","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=346958"
"345364","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345364"
"345341","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345341"
"345333","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345333"
"345306","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345306"
"345277","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345277"
"345261","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=345261"
"344257","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344257"
"344231","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344231"
"344227","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344227"
"344217","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344217"
"344209","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344209"
"344169","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344169"
"344158","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344158"
"344156","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344156"
"344138","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=344138"
